"1","Murder","53","89","142","0","0","0","7","1","0","0","8","78","86","56","90.7","39.4"
"2","Culpable Homicide not Amounting to Murder","5","16","21","0","0","0","1","0","0","0","1","10","11","10","90.9","47.6"
"3","Attempt to Commit Murder","16","25","41","0","0","0","2","1","0","0","3","13","16","25","81.3","61"
"4","Attempt to Commit Culpable Homicide","1","4","5","0","0","0","0","0","0","0","0","1","1","4","100","80"
"5","Grievous Hurt","54","76","130","1","0","0","1","0","0","1","2","53","55","74","96.4","56.9"
"6","Rape","3","1","4","0","0","0","1","0","0","0","1","2","3","1","66.7","25"
"7","Extortion","14","22","36","0","1","0","2","0","0","0","2","10","13","23","76.9","63.9"
"8","Robbery","475","373","848","0","0","0","120","0","0","0","120","232","352","496","65.9","58.5"
"9","Dacoity","4","6","10","0","0","0","1","2","0","0","3","5","8","2","62.5","20"
"10","Cheating","737","647","1384","0","1","0","193","6","24","2","225","124","350","1034","35.4","74.7"
"11","Other IPC Crimes","1630","2303","3933","0","0","0","401","26","29","0","456","1216","1672","2261","72.7","57.5"

